SMILES,Tanimoto,NLL,Status,UMAP1,UMAP2
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,1.0,0.0,Query,3.7307098,21.124796
Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@H]1O,0.7183098591549296,8.343186378479004,Generate,3.289285,19.862501
Cc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7428571428571429,4.060235500335693,Generate,2.8038166,21.26041
OC[C@H]1O[C@@H](n2c(NC3CC3)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,0.7236842105263158,2.5512454509735107,Generate,2.1347566,19.89419
CC(C)CNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.821917808219178,2.968568563461304,Generate,2.176831,21.107021
CCNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.821917808219178,2.409325122833252,Generate,2.566049,20.700935
CCCNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7777777777777778,2.5652101039886475,Generate,4.629801,20.150345
OC[C@H]1O[C@@H](n2c(Cl)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,0.7466666666666667,2.03406023979187,Generate,3.3177545,21.088755
COCCNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7183098591549296,5.4358906745910645,Generate,3.0094314,20.680677
CCC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7428571428571429,4.3081583976745605,Generate,3.0453045,21.66593
CN(C)c1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.717948717948718,4.207333087921143,Generate,3.7621813,22.168545
CNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.8472222222222222,1.9350343942642207,Generate,3.5553994,20.561579
Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7236842105263158,4.35052490234375,Generate,3.054483,20.005753
CCCCNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7236842105263158,3.32214617729187,Generate,4.1712646,19.993498
CNc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@H]1O,0.7162162162162162,4.903915882110596,Generate,3.783587,20.143822
CC(C)Nc1nc2cc(Cl)ccc2n1[C@@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,0.7466666666666667,11.308439254760742,Generate,2.444236,20.170261
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0.821917808219178,2.802173852920532,Generate,1.7325085,20.714508
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@@H]1O[C@H](CO)[C@@H](O)[C@@H]1O,0.7777777777777778,5.63260555267334,Generate,2.5233853,21.190231
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@@H]1O[C@@H](CO)[C@@H](O)[C@@H]1O,0.8115942028985508,8.238007545471191,Generate,3.6259499,19.416409
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@@H]1OC[C@@H](O)[C@H]1O,0.7183098591549296,5.64902925491333,Generate,3.0199265,19.285933
CC(C)(Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O)C(F)(F)F,0.7183098591549296,7.465569972991943,Generate,2.0089185,22.386343
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1C[C@@H](O)[C@@H](CO)O1,0.7428571428571429,5.388739585876465,Generate,1.4254354,20.164547
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1C[C@H](O)[C@@H](CO)O1,0.7236842105263158,6.138229846954346,Generate,1.1559079,19.817692
OC[C@H]1O[C@@H](n2c(Br)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,0.7183098591549296,4.614892959594727,Generate,1.6629615,21.147839
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CNCCO)[C@H](O)[C@@H]1O,0.7236842105263158,9.677684783935549,Generate,2.016657,20.432919
OC[C@H]1O[C@@H](n2c(I)nc3cc(Cl)c(Cl)cc32)[C@H](O)[C@@H]1O,0.8115942028985508,4.1229248046875,Generate,4.261319,20.797531
CCN(CC)c1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.7183098591549296,5.534181118011475,Generate,3.6974077,21.761728
Cc1cc2c(cc1Cl)nc(NC(C)C)n2[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.717948717948718,6.546626567840576,Generate,2.2570426,21.73428
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1C[C@@H](O)[C@H](CO)O1,0.8472222222222222,6.278325080871582,Generate,0.99279207,20.40464
CC(C)(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.8472222222222222,4.3865742683410645,Generate,1.6541635,22.0998
CSc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@H](O)[C@@H]1O,0.717948717948718,4.066799640655518,Generate,4.3409905,21.478363
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CO)[C@@H](O)[C@H]1O,0.7183098591549296,5.297184944152832,Generate,1.900145,19.406212
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1O[C@@H](CN)[C@H](O)[C@@H]1O,0.8472222222222222,6.2549309730529785,Generate,2.9892004,22.404058
CC(C)Nc1nc2cc(Cl)c(Cl)cc2n1[C@H]1OC[C@@H](O)[C@H]1O,0.8115942028985508,5.255802154541016,Generate,2.6127696,19.236423
